2018-01-17 09:06:42,424 [Worker-590] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.psl:RoomBookFinalWar:0.0.1-SNAPSHOT @ C:\JAVA\HibernateDemo\RoomBookFinalWar\pom.xml.
2018-01-17 09:06:51,268 [Worker-590] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /RoomBookFinalWar/src
2018-01-17 09:06:51,269 [Worker-590] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /RoomBookFinalWar/src overlaps with sources folder /RoomBookFinalWar/src
2018-01-17 09:06:51,616 [Worker-590] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /RoomBookFinalWar/test
2018-01-17 09:06:56,455 [Worker-590] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2018-01-17 09:06:57,059 [Worker-602] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.psl:RoomBookFinalWar:0.0.1-SNAPSHOT @ C:\JAVA\HibernateDemo\RoomBookFinalWar\pom.xml.
2018-01-17 09:06:57,522 [Worker-602] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-17 09:06:57,566 [Worker-602] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 8 resources
2018-01-17 09:06:57,728 [Worker-602] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-17 09:06:57,992 [Worker-602] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\JAVA\HibernateDemo\RoomBookFinalWar\src\test\resources
2018-01-17 09:06:59,185 [Worker-590] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.psl:RoomBookFinalWar:0.0.1-SNAPSHOT @ C:\JAVA\HibernateDemo\RoomBookFinalWar\pom.xml.
2018-01-17 09:06:59,953 [Worker-590] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /RoomBookFinalWar/src
2018-01-17 09:06:59,954 [Worker-590] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /RoomBookFinalWar/src overlaps with sources folder /RoomBookFinalWar/src
2018-01-17 09:06:59,954 [Worker-590] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /RoomBookFinalWar/test
2018-01-17 09:07:07,033 [Worker-590] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.psl:RoomBookFinalWar:0.0.1-SNAPSHOT @ C:\JAVA\HibernateDemo\RoomBookFinalWar\pom.xml.
2018-01-17 09:07:07,249 [Worker-590] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for RoomBookFinalWar
2018-01-17 09:07:07,364 [Worker-590] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 10 sec
