127.0.0.1 - - [16/Dec/2017:09:31:23 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [16/Dec/2017:09:31:25 +0530] "GET /SpringMVC/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Dec/2017:09:31:25 +0530] "GET /SpringMVC/home?message=Hello+World%21%21 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Dec/2017:09:31:25 +0530] "GET /SpringMVC/home?message=Hello+World%21%21 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Dec/2017:09:31:25 +0530] "GET /SpringMVC/home?message=Hello+World%21%21 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Dec/2017:09:31:25 +0530] "GET /SpringMVC/home?message=Hello+World%21%21 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Dec/2017:09:31:25 +0530] "GET /SpringMVC/home?message=Hello+World%21%21 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Dec/2017:09:31:25 +0530] "GET /SpringMVC/home?message=Hello+World%21%21 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Dec/2017:09:31:25 +0530] "GET /SpringMVC/home?message=Hello+World%21%21 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Dec/2017:09:31:25 +0530] "GET /SpringMVC/home?message=Hello+World%21%21 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Dec/2017:09:31:25 +0530] "GET /SpringMVC/home?message=Hello+World%21%21 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Dec/2017:09:31:25 +0530] "GET /SpringMVC/home?message=Hello+World%21%21 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Dec/2017:09:31:25 +0530] "GET /SpringMVC/home?message=Hello+World%21%21 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Dec/2017:09:31:25 +0530] "GET /SpringMVC/home?message=Hello+World%21%21 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Dec/2017:09:31:25 +0530] "GET /SpringMVC/home?message=Hello+World%21%21 HTTP/1.1" 302 -
